Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
0,0,0,0,0,42,1,135,1,43,0,1,7,3,5,3,3,1,2,3,3,1,2,2
0,0,0,0,0,43,1,136,2,37,0,2,1,2,4,2,3,4,2,1,5,1,1,1
2,-1,0,4.1,56.6,1,2,137,1,25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
2,-1,0,4.1,76.4,2,2,138,1,30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
2,-1,0,4.1,62.7,3,2,139,1,34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
2,-1,0,4.1,64.1,4,2,140,1,46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
2,-1,0,4.1,75.7,5,2,141,1,43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
2,-1,0,3.4,55.2,6,2,142,2,36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
2,-1,0,3.4,64.7,7,2,143,2,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
2,-1,0,3.4,112.5,8,2,144,2,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
2,-1,0,3.4,97.5,9,2,145,2,26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
2,-1,0,3.4,74.9,10,2,146,2,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
3,1,0,3.8,109,1,2,147,2,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
3,1,0,3.8,44.5,2,2,148,2,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
3,1,0,3.8,78.3,3,2,149,2,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
3,1,0,3.8,98.3,4,2,150,2,39,0,1,3,2,4,9,3,1,6,6,8,1,1,1
3,1,0,3.8,61.4,5,2,151,2,53,1,1,7,2,5,5,3,3,2,4,4,1,1,1
3,1,0,3.1,102.5,6,2,152,1,39,1,1,2,2,4,8,3,2,1,3,2,1,1,1
3,1,0,3.1,68,7,2,153,1,41,1,1,7,2,5,5,4,1,2,3,2,1,2,1
3,1,0,3.1,88,8,2,154,1,38,1,1,7,2,3,3,3,2,1,5,1,1,2,1
3,1,0,3.1,63.5,9,2,155,1,43,1,1,7,2,5,9,3,2,3,5,2,1,2,1
3,1,0,3.1,105.6,10,2,156,1,39,1,7,7,2,5,5,3,4,2,1,3,1,2,1
4,-1,0,4.6,166.6,1,2,157,2,64,0,1,7,2,2,3,3,2,2,5,2,1,2,1
4,-1,0,4.6,157.4,2,2,158,2,70,1,1,3,2,2,3,3,1,6,6,8,1,1,1
