Group,RPN,YRR,YRRS,PRR,NEWYRR,NEWPRR,WP,WPN,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
9,1,4.4,4.4,0,1.4,0,0,0.661437828,10,1,79,1,34,0,1,2,2,2,4,2,2,6,6,8,1,1,1
10,1,4.2,4.2,0,1.2,0,0,0.734846922,1,1,80,1,25,0,5,4,2,2,2,3,4,4,2,1,1,1,1
10,1,4.2,4.2,0,1.2,0,0,0.433333333,2,1,81,1,,1,5,4,2,2,4,2,2,3,5,1,1,1,1
10,1,4.2,4.2,0,1.2,0,0,0.433333333,3,1,82,1,,0,5,3,2,2,4,1,3,2,5,1,1,1,1
10,1,4.2,4.2,0,1.2,0,0,1.337667688,9,1,83,1,28,0,5,3,2,3,3,3,4,3,3,1,1,1,1
10,1,4.2,4.2,0,1.2,0,0,0.822873015,4,1,84,1,33,1,5,4,2,3,3,3,4,3,5,2,1,1,1
10,1,3.4,3.4,0,0.4,0,0,0.542857143,5,1,85,2,30,1,5,4,2,2,1,3,3,2,4,2,1,1,1
10,1,3.4,3.4,0,0.4,0,0,0.252357307,6,1,86,2,25,1,5,3,1,1,1,3,4,4,4,2,1,1,1
10,1,3.4,3.4,0,0.4,0,0,0.101036296,7,1,87,2,24,1,5,3,1,1,1,3,3,1,1,3,1,1,2
10,1,3.4,3.4,0,0.4,0,0,2.171428574,8,1,88,2,24,0,5,3,1,1,1,3,4,1,1,3,1,1,1
10,1,3.4,3.4,0,0.4,0,0,0.337762244,10,1,89,2,,1,5,3,1,1,2,4,4,3,3,4,1,2,1
11,-1,1.4,-1.4,0,-1.6,0,0,0.965186074,1,1,90,1,29,1,1,3,2,5,3,3,2,5,6,8,1,1,1
11,-1,1.4,-1.4,0,-1.6,0,0,1.045806552,2,1,91,1,26,0,1,7,2,5,3,3,2,3,1,2,1,1,1
11,-1,1.4,-1.4,0,-1.6,0,0,1.045806552,3,1,92,1,25,0,1,7,2,5,3,3,3,1,2,2,1,2,2
11,-1,1.4,-1.4,0,-1.6,0,0,1.045806552,4,1,93,1,28,1,1,2,2,5,3,4,3,2,1,1,1,1,1
11,-1,1.4,-1.4,0,-1.6,0,0,1.122682798,5,1,94,1,37,1,1,4,2,5,6,2,3,2,1,2,1,1,1
11,-1,2.4,-2.4,0,-0.6,0,0,0.985798028,6,1,95,2,36,0,1,7,2,5,5,3,3,3,2,1,1,1,1
11,-1,2.4,-2.4,0,-0.6,0,0,1.001789444,7,1,96,2,42,1,1,7,2,7,4,1,2,6,6,8,1,2,1
11,-1,2.4,-2.4,0,-0.6,0,0,1.025624084,8,1,97,2,35,0,1,2,2,7,4,3,2,1,2,4,2,1,1
11,-1,2.4,-2.4,0,-0.6,0,0,1.013628068,9,1,98,2,42,1,1,3,2,6,6,1,4,1,1,7,1,2,1
11,-1,2.4,-2.4,0,-0.6,0,0,1.061445555,10,1,99,2,39,0,1,7,2,6,6,4,3,2,5,3,1,2,2
0,0,0,0,0,0,0,0,0,1,1,100,1,44,0,1,7,1,3,2,3,4,3,1,1,1,1,1
0,0,0,0,0,0,0,0,0,2,1,101,1,39,1,1,2,3,3,4,3,4,4,1,1,1,1,1
0,0,0,0,0,0,0,0,0,4,1,102,1,44,0,1,7,2,5,3,5,2,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,5,1,103,1,42,0,1,7,2,4,4,1,3,2,1,1,1,2,1
0,0,0,0,0,0,0,0,0,6,1,104,1,20,0,9,7,1,4,1,1,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,8,1,105,1,27,0,1,5,2,2,4,2,3,1,1,6,1,1,1
0,0,0,0,0,0,0,0,0,9,1,106,1,29,0,5,3,2,2,1,3,4,1,1,1,2,1,1
0,0,0,0,0,0,0,0,0,10,1,107,1,22,0,1,2,2,2,2,3,4,1,1,4,1,1,1
0,0,0,0,0,0,0,0,0,11,1,108,1,23,1,1,2,2,2,2,3,4,6,6,8,1,1,1
0,0,0,0,0,0,0,0,0,12,1,109,2,33,0,1,2,2,4,4,3,3,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,13,1,110,2,53,0,1,6,2,3,2,5,2,2,3,4,2,2,2
0,0,0,0,0,0,0,0,0,14,1,111,2,22,0,1,2,1,1,1,3,3,1,1,7,1,1,1
0,0,0,0,0,0,0,0,0,15,1,112,2,34,1,1,7,2,4,4,3,3,4,2,2,1,1,1
0,0,0,0,0,0,0,0,0,16,1,113,2,21,0,6,2,1,2,2,2,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,17,1,114,2,30,1,1,2,2,4,8,1,3,3,2,2,1,1,1
0,0,0,0,0,0,0,0,0,18,1,115,2,47,0,1,2,2,5,4,3,1,1,3,3,1,1,1
0,0,0,0,0,0,0,0,0,19,1,116,2,27,0,1,2,1,2,3,2,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,20,1,117,2,29,0,1,2,2,4,3,3,3,1,2,2,1,1,1
0,0,0,0,0,0,0,0,0,23,1,118,2,30,1,8,2,1,2,4,2,3,1,2,4,1,1,1
0,0,0,0,0,0,0,0,0,24,1,119,2,23,1,1,1,1,0,3,3,2,2,1,1,1,1,2
0,0,0,0,0,0,0,0,0,25,1,120,2,49,1,1,7,2,5,5,3,2,2,3,1,1,1,1
0,0,0,0,0,0,0,0,0,26,1,121,2,41,0,1,2,2,5,4,1,4,1,5,3,1,1,2
0,0,0,0,0,0,0,0,0,27,1,122,2,27,0,1,2,1,2,2,2,4,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,29,1,123,1,40,0,5,6,2,3,2,4,4,2,4,6,1,1,1
0,0,0,0,0,0,0,0,0,31,1,124,1,49,0,1,7,2,6,7,4,4,4,1,7,1,1,1
0,0,0,0,0,0,0,0,0,32,1,125,1,34,0,5,3,2,3,4,3,4,2,3,2,1,1,1
0,0,0,0,0,0,0,0,0,33,1,126,1,40,1,5,3,2,3,3,2,4,2,4,2,1,1,1
0,0,0,0,0,0,0,0,0,34,1,127,1,30,1,9,3,1,1,3,3,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,35,1,128,1,26,1,9,3,1,1,3,3,4,2,1,1,1,2,1
0,0,0,0,0,0,0,0,0,36,1,129,1,54,0,1,1,2,2,9,1,1,1,5,4,1,1,1
0,0,0,0,0,0,0,0,0,37,1,130,1,35,0,1,4,1,5,3,2,2,2,4,2,1,1,1
0,0,0,0,0,0,0,0,0,38,1,131,2,24,1,9,3,1,1,2,3,4,3,1,2,1,1,1
0,0,0,0,0,0,0,0,0,39,1,132,2,43,0,1,7,2,5,3,3,1,1,2,1,1,1,1
0,0,0,0,0,0,0,0,0,40,1,133,2,45,1,1,7,2,5,3,3,1,1,5,1,2,2,2
0,0,0,0,0,0,0,0,0,41,1,134,2,67,1,1,7,3,1,2,3,3,6,6,8,1,1,1
0,0,0,0,0,0,0,0,0,42,1,135,1,43,0,1,7,3,5,3,3,1,2,3,3,1,2,2
0,0,0,0,0,0,0,0,0,43,1,136,2,37,0,2,1,2,4,2,3,4,2,1,5,1,1,1
2,-1,0,0,4.1,0,1.1,56.6,2.154065922,1,2,137,1,25,0,1,2,1,1,2,1,4,3,1,3,1,1,1
2,-1,0,0,4.1,0,1.1,76.4,2.23175732,2,2,138,1,30,0,1,3,1,1,2,1,1,3,5,2,1,1,1
2,-1,0,0,4.1,0,1.1,62.7,1.923468152,3,2,139,1,34,0,6,2,2,3,5,3,4,2,1,1,1,1,1
2,-1,0,0,4.1,0,1.1,64.1,2.045876282,4,2,140,1,46,0,6,3,2,4,5,3,4,3,1,2,1,1,1
2,-1,0,0,4.1,0,1.1,75.7,2.09800075,5,2,141,1,43,0,6,1,2,2,3,3,4,2,1,5,1,1,1
2,-1,0,0,3.4,0,0.4,55.2,1.894092448,6,2,142,2,36,0,1,2,3,3,4,5,2,2,2,2,1,2,1
2,-1,0,0,3.4,0,0.4,64.7,1.456085567,7,2,143,2,25,1,1,2,1,1,1,2,4,4,1,4,1,1,1
2,-1,0,0,3.4,0,0.4,112.5,2.227831972,8,2,144,2,39,1,1,3,2,6,7,1,4,4,1,2,1,1,1
2,-1,0,0,3.4,0,0.4,97.5,2.102739079,9,2,145,2,26,0,1,3,2,2,4,2,3,4,1,2,1,1,1
2,-1,0,0,3.4,0,0.4,74.9,1.322222222,10,2,146,2,21,1,1,7,1,4,3,2,4,2,1,1,1,1,1
3,1,0,0,3.8,0,0.8,109,1.196747002,1,2,147,2,39,1,1,7,2,4,9,3,3,2,3,4,1,1,1
3,1,0,0,3.8,0,0.8,44.5,1.1,2,2,148,2,42,1,1,7,2,5,5,3,3,2,1,1,1,1,1
3,1,0,0,3.8,0,0.8,78.3,1.088482669,3,2,149,2,45,1,1,3,2,5,5,3,4,4,3,1,1,2,2
3,1,0,0,3.8,0,0.8,98.3,1.072548535,4,2,150,2,39,0,1,3,2,4,9,3,1,6,6,8,1,1,1
