Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE,WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES,LOCS,EOF,EOW,AVGSPEND,ALCN,FAVCUS,Restau,DistanceG,DistanceHM,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit
5,1,4.2,0,0,7,1,37,2,31,2,1,3,2,5,6,2,2,2,1,2,1,1,1,1,128,1980,1,1,1,5,5,4,2,4,3,5,3,3,1,1,1,2,2,3,5,3,3,3,5,3,3,4,2,3,3,2
5,1,4.2,0,0,8,1,38,2,46,1,1,7,3,2,3,3,1,2,1,1,1,2,1,2,128,1568,1,1,1,5,5,5,4,5,4,3,4,2,2,3,5,2,1,1,5,4,3,4,5,4,3,4,3,4,3,5
5,1,4.2,0,0,9,1,39,2,42,2,1,2,3,1,3,3,3,2,1,3,1,2,2,2,128,1696,1,1,1,5,5,5,4,5,4,3,4,2,2,2,4,2,1,1,3,2,2,4,4,4,4,3,2,4,3,4
5,1,4.2,0,0,10,1,40,2,32,1,1,2,2,2,6,1,3,6,6,8,1,1,1,1,124,1724,1,1,1,4,4,3,5,5,3,3,1,2,3,3,4,2,1,2,3,4,4,5,4,5,5,3,2,4,4,5
6,1,4.4,0,0,1,1,41,1,61,2,1,7,2,2,8,3,2,1,1,5,1,1,1,2,8,46,1,1,1,5,5,5,4,4,4,4,2,2,1,1,4,1,1,1,5,3,3,4,3,3,2,3,2,2,2,2
6,1,4.4,0,0,2,1,42,1,34,2,1,3,2,3,5,3,2,2,2,2,1,1,1,2,8,140,2,1,1,5,5,3,4,4,3,3,3,3,2,2,2,1,1,2,5,3,3,4,4,3,3,5,2,2,3,2
6,1,4.4,0,0,3,1,43,1,33,1,1,2,2,4,8,1,2,3,1,1,1,1,1,2,10,164,1,1,1,5,3,3,4,3,3,3,3,3,1,1,2,1,2,2,5,4,4,2,3,3,3,2,2,4,3,3
6,1,4.4,0,0,4,1,44,1,34,2,1,3,1,2,7,3,3,2,1,1,1,1,1,2,22,1724,1,1,2,4,4,3,4,5,4,4,3,2,2,2,2,1,1,3,2,2,3,2,3,4,2,3,2,2,2,2
6,1,4.4,0,0,5,1,45,1,36,1,6,3,3,2,7,1,3,5,6,8,1,1,1,1,62,1708,1,1,1,5,4,3,4,5,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,3,2,3,2,3
6,1,4.4,0,0,6,1,46,2,37,2,1,3,2,4,5,3,2,1,1,4,1,1,1,1,4,128,1,1,1,5,5,3,5,5,3,4,4,2,2,4,1,2,1,1,3,4,4,3,5,4,3,4,2,4,3,4
6,1,4.4,0,0,8,1,47,2,41,1,1,2,1,1,6,3,2,1,2,1,1,1,1,1,24,180,1,1,1,4,4,4,4,4,3,3,1,1,2,2,2,2,1,2,5,2,3,3,4,4,3,2,2,3,2,4
6,1,4.4,0,0,9,1,48,2,38,1,7,2,2,4,9,3,3,1,1,2,1,1,1,1,8,1788,1,1,1,5,5,5,5,5,3,3,4,5,4,1,4,2,3,2,5,3,3,2,4,4,4,2,2,3,1,3
6,1,4.4,0,0,10,1,49,2,30,2,1,2,2,4,8,2,4,4,1,2,1,1,2,1,44,1980,1,1,1,5,5,4,4,4,4,3,3,3,2,1,4,2,2,1,4,5,5,5,4,4,4,4,2,5,4,5
7,-1,1.2,0,0,1,1,50,1,24,1,5,4,2,2,1,3,4,2,1,1,2,1,1,1,8,192,2,1,2,4,4,2,2,3,5,4,3,2,2,1,3,1,3,3,5,4,3,4,3,2,4,5,2,4,2,2
