Group,RPN,YRR,POS,NEG,Posnew,Posnew1,Negnew,Negnew1,RWG,Rest,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
7,-1,1.2,0,1.2,0,0,-1.2,-1.8,2,1,4,3,3,2,3,3,3,2,2,2,2,2,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
7,-1,1.2,0,1.2,0,0,-1.2,-1.8,3,1,4,3,3,4,4,4,3,3,3,1,2,1,24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
7,-1,1.2,0,1.2,0,0,-1.2,-1.8,4,1,4,3,3,3,3,2,2,3,2,2,2,2,28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
7,-1,1.2,0,1.2,0,0,-1.2,-1.8,5,1,2,4,3,3,3,3,3,4,3,3,2,2,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
7,-1,2.4,0,2.4,0,0,-2.4,-0.6,6,2,0,2,1,3,4,3,4,2,3,0,2,0,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
7,-1,2.4,0,2.4,0,0,-2.4,-0.6,7,2,0,1,1,2,4,4,1,3,2,0,1,0,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
7,-1,2.4,0,2.4,0,0,-2.4,-0.6,8,2,4,2,2,5,4,3,2,3,2,1,3,2,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
7,-1,2.4,0,2.4,0,0,-2.4,-0.6,9,2,2,3,3,5,4,2,2,4,2,3,3,3,21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
7,-1,2.4,0,2.4,0,0,-2.4,-0.6,10,2,4,2,3,3,3,4,2,3,2,2,2,1,24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
8,-1,1.2,0,1.2,0,0,-1.2,-1.8,1,1,1,3,3,2,2,3,1,3,2,1,3,2,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
8,-1,1.2,0,1.2,0,0,-1.2,-1.8,2,1,3,4,4,5,3,5,3,5,2,4,3,3,43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
8,-1,1.2,0,1.2,0,0,-1.2,-1.8,3,1,1,2,2,4,4,2,3,2,2,1,2,2,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
8,-1,1.2,0,1.2,0,0,-1.2,-1.8,4,1,2,3,4,3,3,3,3,2,2,2,3,2,41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
8,-1,1.2,0,1.2,0,0,-1.2,-1.8,5,1,4,4,3,3,3,2,2,3,2,3,3,1,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
8,-1,2.2,0,2.2,0,0,-2.2,-0.8,6,2,4,3,3,2,5,3,3,2,2,3,2,1,42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
8,-1,2.2,0,2.2,0,0,-2.2,-0.8,7,2,1,1,1,3,4,3,2,2,2,1,2,0,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
8,-1,2.2,0,2.2,0,0,-2.2,-0.8,8,2,4,3,3,4,4,3,3,3,2,1,3,1,36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
8,-1,2.2,0,2.2,0,0,-2.2,-0.8,9,2,4,3,3,3,3,3,1,2,2,2,2,2,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
8,-1,2.2,0,2.2,0,0,-2.2,-0.8,10,2,0,4,3,1,4,4,3,3,2,2,1,1,37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
9,1,3.4,3.4,0,0.9,0.4,0,0,1,2,4,4,4,3,2,2,2,1,2,3,2,4,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
9,1,3.4,3.4,0,0.9,0.4,0,0,2,2,4,3,4,3,3,4,3,3,2,3,3,3,28,0,1,3,2,2,3,3,1,2,5,6,1,1,1
9,1,3.4,3.4,0,0.9,0.4,0,0,3,2,4,3,2,4,3,2,3,3,2,2,3,1,40,0,1,7,3,1,5,3,2,4,2,3,1,1,1
9,1,3.4,3.4,0,0.9,0.4,0,0,4,2,4,2,2,4,4,3,3,2,2,2,1,1,53,0,7,2,3,5,3,2,2,3,2,5,1,1,1
9,1,3.4,3.4,0,0.9,0.4,0,0,5,2,2,3,3,4,4,4,3,3,2,2,3,0,30,1,6,3,1,1,1,3,2,3,1,1,1,1,1
9,1,4.4,4.4,0,1.9,1.4,0,0,6,1,1,2,2,3,1,4,1,4,2,1,3,0,27,0,1,4,2,2,3,1,3,4,1,2,1,1,1
9,1,4.4,4.4,0,1.9,1.4,0,0,7,1,4,2,2,4,2,4,2,3,2,1,4,1,26,1,9,2,2,2,3,3,2,1,5,2,1,2,1
9,1,4.4,4.4,0,1.9,1.4,0,0,8,1,4,2,2,3,2,3,3,3,2,1,3,1,27,1,1,7,1,1,2,1,1,1,1,1,1,1,1
9,1,4.4,4.4,0,1.9,1.4,0,0,9,1,1,2,2,4,3,3,2,3,2,0,3,0,35,1,1,7,2,2,4,2,1,2,6,8,1,1,1
9,1,4.4,4.4,0,1.9,1.4,0,0,10,1,4,3,3,4,2,3,2,2,2,0,2,0,34,0,1,2,2,2,4,2,2,6,6,8,1,1,1
10,1,4.2,4.2,0,1.7,1.2,0,0,1,1,2,4,3,2,4,5,4,4,3,3,2,2,25,0,5,4,2,2,2,3,4,4,2,1,1,1,1
10,1,4.2,4.2,0,1.7,1.2,0,0,2,1,2,4,4,2,3,3,3,4,4,3,3,3,25,1,5,4,2,2,4,2,2,3,5,1,1,1,1
10,1,4.2,4.2,0,1.7,1.2,0,0,3,1,4,3,3,2,3,3,3,3,2,2,3,2,25,0,5,3,2,2,4,1,3,2,5,1,1,1,1
10,1,4.2,4.2,0,1.7,1.2,0,0,9,1,4,2,2,3,4,3,4,3,2,1,3,2,28,0,5,3,2,3,3,3,4,3,3,1,1,1,1
